qb_name,team,start_year,end_year,rate_plus,is_homegrown
charlie conerly,nyg,1950,1960,108,TRUE
ya tittle,nyg,1961,1964,116,FALSE
fran tarkenton,nyg,1967,1971,115,FALSE
phil simms,nyg,1979,1993,105,TRUE
kerry collins,nyg,2000,2003,100,FALSE
eli manning,nyg,2005,2018,99,TRUE
daniel jones,nyg,2019,2024,90,TRUE
joe namath,nyj,1965,1976,102,TRUE
richard todd,nyj,1977,1983,97,TRUE
ken obrien,nyj,1985,1991,109,TRUE
boomer esiason,nyj,1993,1995,100,FALSE
vinny testaverde,nyj,1998,2001,101,FALSE
chad pennington,nyj,2002,2007,112,TRUE
mark sanchez,nyj,2009,2012,85,TRUE
sam darnold,nyj,2018,2020,82,TRUE
zach wilson,nyj,2021,2023,74,TRUE
norm van brocklin,phi,1958,1960,109,FALSE
sonny jurgensen,phi,1961,1963,109,TRUE
norm snead,phi,1964,1970,99,FALSE
ron jaworski,phi,1977,1986,104,TRUE
randall cunningham,phi,1987,1994,107,TRUE
donovan mcnabb,phi,2000,2009,109,TRUE
michael vick,phi,2010,2012,103,FALSE
carson wentz,phi,2016,2020,98,TRUE
jalen hurts,phi,2021,2025,106,TRUE
jim finks,pit,1952,1955,98,TRUE
bobby layne,pit,1958,1962,93,FALSE
ed brown,pit,1963,1964,92,FALSE
terry bradshaw,pit,1970,1982,105,TRUE
mark malone,pit,1984,1987,85,TRUE
bubby brister,pit,1988,1991,97,TRUE
neil odonnell,pit,1992,1995,107,TRUE
kordell stewart,pit,1997,2002,94,TRUE
ben roethlisberger,pit,2004,2021,109,TRUE
jim zorn,sea,1976,1983,99,TRUE
dave krieg,sea,1984,1991,108,TRUE
rick mirer,sea,1993,1996,82,TRUE
matt hasselbeck,sea,2001,2010,102,TRUE
russell wilson,sea,2012,2021,117,TRUE
geno smith,sea,2022,2024,109,FALSE
frankie albert,sf ,1950,1952,103,TRUE
ya tittle,sf ,1953,1959,111,TRUE
john brodie,sf ,1960,1973,105,TRUE
joe montana,sf ,1981,1990,125,TRUE
steve young,sf ,1991,1998,133,FALSE
jeff garcia,sf ,1999,2003,113,TRUE
alex smith,sf ,2006,2012,99,TRUE
colin kaepernick,sf ,2013,2016,99,TRUE
jimmy garoppolo,sf ,2019,2022,110,TRUE
brock purdy,sf ,2023,2025,123,TRUE
doug williams,tb ,1978,1982,92,TRUE
vinny testaverde,tb ,1988,1992,86,TRUE
trent dilfer,tb ,1995,1999,90,TRUE
brad johnson,tb ,2001,2003,106,FALSE
josh freeman,tb ,2009,2012,93,TRUE
jameis winston,tb ,2015,2019,95,TRUE
tom brady,tb ,2020,2022,109,FALSE
baker mayfield,tb ,2023,2025,111,FALSE
george blanda,ten,1960,1966,102,FALSE
pete beathard,ten,1967,1969,88,FALSE
dan pastorini,ten,1971,1979,94,TRUE
warren moon,ten,1984,1993,107,TRUE
steve mcnair,ten,1997,2005,106,TRUE
vince young,ten,2006,2010,88,TRUE
jake locker,ten,2012,2014,88,TRUE
marcus mariota,ten,2015,2018,100,TRUE
ryan tannehill,ten,2019,2023,108,FALSE
eddie lebaron,wsh,1952,1959,99,TRUE
norm snead,wsh,1961,1963,90,TRUE
sonny jurgensen,wsh,1964,1970,116,FALSE
billy kilmer,wsh,1971,1977,113,FALSE
joe theismann,wsh,1978,1985,109,TRUE
mark rypien,wsh,1989,1993,105,TRUE
gus frerotte,wsh,1995,1997,96,TRUE
jason campbell,wsh,2007,2009,100,TRUE
robert griffin iii,wsh,2012,2014,105,TRUE
kirk cousins,wsh,2015,2017,112,TRUE
