Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,wAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ,,-9999
3,69,NYG,Rich Glover,DT,23,1975,0,0,1,9,3,27,0,0,0,0,0,0,0,0,0,0,0,,3.5,Nebraska,College Stats,GlovRi20
3,70,DEN,John Wood,DT,22,1973,0,0,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,,,LSU,College Stats,WoodJo20
3,71,DET,Jim Laslavic,LB,21,1982,0,0,3,32,26,124,0,0,0,0,0,0,0,0,0,0,0,8,4.0,Penn St.,,LaslJi20
3,72,KAN,Paul Krause,T,,,0,0,0,,,,,,,,,,,,,,,,,Central Michigan,,-9999
3,73,NWE,Charles Davis,RB,,,0,0,0,,,,,,,,,,,,,,,,,Alcorn St.,,-9999
3,74,GNB,Tom MacLeod,LB,22,1978,0,0,5,28,5,64,0,0,0,0,0,0,0,0,0,0,0,5,7.5,Minnesota,College Stats,MacLTo20
3,75,DET,Levi Johnson,DB,22,1977,0,0,4,31,31,59,0,0,0,0,0,0,0,0,0,0,0,21,,Texas A&M-Kingsville,,JohnLe23
3,76,PIT,Roger Bernhardt,G,23,1975,0,0,0,4,,18,0,0,0,0,0,0,0,0,0,0,0,,,Kansas,,BernRo21
3,77,BUF,Bob Kampa,DT,22,1974,0,0,0,5,4,14,0,0,0,0,0,0,0,0,0,0,0,,,California,,KampBo20
3,78,MIA,Leon Gray,T,21,1983,3,4,8,69,,142,0,0,0,0,0,0,0,0,0,0,0,,,Jackson St.,,GrayLe00
4,79,HOU,Gregg Bingham,LB,22,1984,0,0,12,61,61,173,0,0,0,0,0,0,0,0,0,0,0,21,14.5,Purdue,,BingGr20
4,80,MIN,Mike Wells,QB,22,1977,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,,,Illinois,College Stats,WellMi21
4,81,DET,Mike Hennigan,LB,21,1978,0,0,1,14,7,64,0,0,0,0,0,0,0,0,0,0,0,3,0.5,Tennessee Tech,,HennMi20
4,82,NWE,Allen Gallaher,T,22,1974,0,0,0,5,5,14,0,0,0,0,0,0,0,0,0,0,0,,,USC,,GallAl20
4,83,BAL,Gery Palmer,T,22,1975,0,0,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,,,Kansas,,PalmGe20
4,84,SDG,Jim Thaxton,TE,24,1978,0,0,0,6,1,54,0,0,0,0,0,2,-13,0,35,544,5,1,,Tennessee St.,,ThaxJi00
4,85,BAL,Ollie Smith,WR,24,1977,0,0,1,7,0,33,0,0,0,0,0,1,-3,0,44,772,1,,,Tennessee St.,,SmitOl00
4,86,NOR,Jim Merlo,LB,21,1979,0,0,4,30,30,88,0,0,0,0,0,0,0,0,0,0,0,8,6.0,Stanford,,MerlJi20
4,87,BUF,Donnie Walker,DB,22,1975,0,0,0,4,4,27,0,0,0,0,0,0,0,0,0,0,0,1,,Central State (OH),,WalkDo20
4,88,DEN,Tom Jackson,LB,22,1986,1,3,12,83,83,191,0,0,0,0,0,0,0,0,0,0,0,20,40.0,Louisville,,JackTo01
4,89,KAN,John Lohmeyer,DT,22,1977,0,0,2,10,10,41,0,0,0,0,0,0,0,0,0,0,0,,7.0,Emporia St.,,LohmJo20
4,90,NYJ,Bill Ferguson,LB,22,1974,0,0,1,6,6,24,0,0,0,0,0,0,0,0,0,0,0,,2.0,San Diego St.,,FergBi20
4,91,DET,Dick Jauron,DB,22,1980,0,1,6,40,29,100,0,0,0,0,0,0,0,0,0,0,0,25,4.0,Yale,College Stats,JaurDi00
4,92,OAK,Perry Smith,DB,22,1981,0,0,3,23,,108,0,0,0,0,0,0,0,0,0,0,0,13,,Colorado St.,,SmitPe20
4,93,CLE,Andy Dorris,DE,22,1981,0,0,4,34,,118,0,0,0,0,0,0,0,0,0,0,0,,32.0,New Mexico St.,,DorrAn20
4,94,ATL,Tom Geredine,WR,23,1976,0,0,0,3,3,34,0,0,0,0,0,2,5,0,17,323,2,,,Truman St.,,GereTo00
4,95,RAM,Eddie McMillan,DB,21,1978,0,0,5,28,20,84,0,0,0,0,0,0,0,0,0,0,0,12,,Florida St.,,McMiEd20
4,96,DET,Jim Hooks,RB,22,1976,0,0,0,3,3,32,0,0,0,0,0,67,245,0,11,64,0,,,Central Oklahoma,,HookJi00
4,97,SDG,Bill Singletary,LB,22,1974,0,0,0,1,,3,0,0,0,0,0,0,0,0,0,0,0,,,Temple,,SingBi20
4,98,DAL,Drane Scrievener,DB,,,0,0,0,,,,,,,,,,,,,,,,,Tulsa,,-9999
4,99,RAM,Terry Nelson,TE,22,1980,0,0,3,13,13,87,0,0,0,0,0,12,85,1,87,1113,6,,,Ark-Pine Bluff,,NelsTe00
4,100,CLE,Randy Mattingly,QB,,,0,0,0,,,,,,,,,,,,,,,,,Evansville,,-9999
4,101,OAK,Joe Wylie,WR,,,0,0,0,,,,,,,,,,,,,,,,,Oklahoma,College Stats,-9999
4,102,PIT,Gail Clark,LB,22,1974,0,0,0,4,,19,0,0,0,0,0,0,0,0,0,0,0,,,Michigan St.,,ClarGa20
4,103,BUF,Jeff Yeates,DE,22,1984,0,0,6,41,3,138,0,0,0,0,0,0,0,0,0,0,0,1,22.5,Boston Col.,,YeatJe20
4,104,MIA,Bo Rather,WR,22,1978,0,0,3,14,1,64,0,1,0,0,0,9,46,0,92,1467,7,,,Michigan,College Stats,RathBo00
5,105,HOU,Edesel Garrison,WR,,,0,0,0,,,,,,,,,,,,,,,,,USC,College Stats,-9999
5,106,PIT,Dave Reavis,T,23,1983,0,0,6,34,6,121,0,0,0,0,0,0,0,0,0,0,0,,,Arkansas,,ReavDa20
5,107,CHI,Allan Ellis,DB,22,1981,0,1,5,38,38,105,0,0,0,0,0,0,0,0,0,0,0,22,,UCLA,,ElliAl00
5,108,NWE,Doug Dumler,C,22,1977,0,0,0,17,10,70,0,0,0,0,0,0,0,0,0,0,0,,,Nebraska,,DumlDo20
5,109,STL,Tom Brahaney,C,21,1981,0,0,3,33,33,134,0,0,0,0,0,0,0,0,0,0,0,,,Oklahoma,College Stats,BrahTo20
5,110,BUF,Wallace Francis,WR,21,1981,0,0,5,31,1,132,0,0,0,0,0,10,17,1,244,3695,27,,,Ark-Pine Bluff,,FranWa00
5,111,MIA,Don Strock,QB,22,1988,0,0,0,18,16,167,443,779,5349,45,42,57,18,2,0,0,0,,,Virginia Tech,College Stats,StroDo00
5,112,SFO,Mike Fulk,LB,,,0,0,0,,,,,,,,,,,,,,,,,Indiana,,-9999
5,113,DEN,Charles McTorry,DB,,,0,0,0,,,,,,,,,,,,,,,,,Tennessee St.,,-9999
5,114,BAL,Dave Taylor,T,23,1979,0,0,4,32,32,72,0,0,0,0,0,0,0,0,0,0,0,,,Catawba,,TaylDa20
5,115,RAM,Cody Jones,DT,22,1982,0,1,5,43,43,110,0,0,0,0,0,0,0,0,0,0,0,,25.0,San Jose St.,,JoneCo00
5,116,NYJ,Bruce Bannon,LB,22,1974,0,0,0,7,,28,0,0,0,0,0,0,0,0,0,0,0,,,Penn St.,College Stats,BannBr20
5,117,WAS,Charley Cantrell,G,,,0,0,0,,,,,,,,,,,,,,,,,Lamar,,-9999
5,118,MIN,Brent McClanahan,RB,21,1979,0,0,2,18,18,95,0,0,0,0,0,367,1207,6,107,772,4,,,Arizona St.,College Stats,McClBr00
5,119,NYG,Leon McQuay,RB,23,1976,0,0,0,4,3,30,0,0,0,0,0,88,287,1,9,86,0,,,Tampa,,McQuLe00
5,120,KAN,Fred Grambau,DE,,,0,0,0,,,,,,,,,,,,,,,,,Michigan,,-9999
5,121,CIN,Bob McCall,RB,23,1973,0,0,0,0,,8,0,0,0,0,0,10,15,0,3,18,0,,,Arizona,College Stats,McCaBo00
5,122,SFO,Ed Beverly,WR,23,1973,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,Arizona St.,College Stats,BeveEd20
5,123,SDG,Willie McGee,WR,23,1978,0,0,0,5,1,56,0,0,0,0,0,4,9,0,24,446,4,,,Alcorn St.,,McGeWi00
5,124,OAK,Louis Neal,WR,22,1974,0,0,0,2,,15,0,0,0,0,0,1,-1,0,13,230,1,,,Prairie View A&M,,NealLo01
5,125,SDG,Jon Knoble,LB,,,0,0,0,,,,,,,,,,,,,,,,,Weber St.,,-9999
5,126,DAL,Bruce Walton,T,22,1975,0,0,0,10,10,33,0,0,0,0,0,0,0,0,0,0,0,,,UCLA,,WaltBr20
5,127,OAK,Ron Mikolajczyk,T,23,1979,0,0,2,9,,32,0,0,0,0,0,0,0,0,0,0,0,,,Tampa,,MikoRo20
5,128,PIT,Larry Clark,LB,,,0,0,0,,,,,,,,,,,,,,,,,Northern Illinois,,-9999
5,129,RAM,Steve Jones,RB,22,1978,0,0,0,14,,77,0,0,0,0,0,299,1204,15,87,629,2,,,Duke,College Stats,JoneSt00
5,130,MIA,Dave McCurry,DB,22,1974,0,0,0,1,,2,0,0,0,0,0,0,0,0,0,0,0,,,Iowa St.,College Stats,McCuDa21
6,131,HOU,Ron Mayo,TE,22,1974,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,,,Morgan St.,,MayoRo20
6,132,PHI,Bob Picard,WR,23,1976,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,,,Eastern Washington,,PicaBo20
6,133,RAM,Jim Peterson,LB,23,1976,0,0,0,11,10,31,0,0,0,0,0,0,0,0,0,0,0,,1.5,San Diego St.,,PeteJi20
6,134,NOR,Marty Shuford,RB,,,0,0,0,,,,,,,,,,,,,,,,,Arizona,College Stats,-9999
6,135,SDG,Marvin Roberts,C,,,0,0,0,,,,,,,,,,,,,,,,,Michigan St.,,-9999
6,136,BUF,John Skorupan,LB,22,1980,0,0,4,29,19,92,0,0,0,0,0,0,0,0,0,0,0,2,8.0,Penn St.,College Stats,SkorJo20
6,137,STL,Dwayne Crump,DB,23,1976,0,0,0,9,9,55,0,0,0,0,0,0,0,0,0,0,0,1,,Fresno St.,,CrumDw20
6,138,CHI,Mike Creaney,C,,,0,0,0,,,,,,,,,,,,,,,,,Notre Dame,College Stats,-9999
6,139,MIN,Doug Kingsriter,TE,23,1975,0,0,0,1,1,28,0,0,0,0,0,0,0,0,7,116,0,,,Minnesota,College Stats,KingDo00
6,140,PIT,Ron Bell,RB,,,0,0,0,,,,,,,,,,,,,,,,,Illinois St.,,-9999
6,141,RAM,Jason Caldwell,WR,,,0,0,0,,,,,,,,,,,,,,,,,North Carolina Central,,-9999
6,142,ATL,Nick Bebout,T,22,1980,0,0,4,33,5,97,0,0,0,0,0,0,0,0,0,0,0,,,Wyoming,,BeboNi20
6,143,MIN,Fred Abbott,LB,,,0,0,0,,,,,,,,,,,,,,,,,Florida,,-9999
